epoch,train/acc,train/base_lr,train/coco/bbox_mAP,train/coco/bbox_mAP_50,train/coco/bbox_mAP_75,train/coco/bbox_mAP_l,train/coco/bbox_mAP_m,train/coco/bbox_mAP_s,train/data_time,train/loss,train/loss_bbox,train/loss_cls,train/loss_rpn_bbox,train/loss_rpn_cls,train/lr,train/memory,train/time,val/acc,val/base_lr,val/coco/bbox_mAP,val/coco/bbox_mAP_50,val/coco/bbox_mAP_75,val/coco/bbox_mAP_l,val/coco/bbox_mAP_m,val/coco/bbox_mAP_s,val/data_time,val/iter,val/loss,val/loss_bbox,val/loss_cls,val/loss_rpn_bbox,val/loss_rpn_cls,val/lr,val/memory,val/step,val/time,test/coco_bbox_mAP,test/coco_bbox_mAP_50,test/coco_bbox_mAP_75,test/coco_bbox_mAP_l,test/coco_bbox_mAP_m,test/coco_bbox_mAP_s
36.0,99.615009,0.000073,,,,,,,0.014821,0.030809,0.020236,0.008360,0.001881,0.000332,0.000008,2633.567308,0.194670,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,99.666654,0.000072,,,,,,,0.014798,0.030755,0.020159,0.008438,0.001794,0.000364,0.000007,2632.201923,0.192790,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,99.642240,0.000070,,,,,,,0.015037,0.028742,0.018632,0.007903,0.001904,0.000303,0.000007,2637.432692,0.195961,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,99.652569,0.000069,,,,,,,0.014945,0.028290,0.018411,0.007716,0.001834,0.000329,0.000007,2649.644231,0.195402,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,99.641301,0.000067,,,,,,,0.014760,0.029296,0.019288,0.007934,0.001728,0.000345,0.000007,2629.615385,0.195417,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,99.627216,0.000066,,,,,,,0.014830,0.028991,0.018787,0.008085,0.001792,0.000327,0.000007,2657.471154,0.195387,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,99.646935,0.000064,,,,,,,0.014681,0.030245,0.019887,0.008373,0.001711,0.000274,0.000007,2640.451923,0.195672,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,99.584961,0.000063,,,,,,,0.014394,0.030002,0.019696,0.008311,0.001698,0.000297,0.000007,2648.778846,0.191951,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,99.661020,0.000061,,,,,,,0.014507,0.029746,0.019496,0.008306,0.001667,0.000276,0.000006,2623.730769,0.193975,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,99.664776,0.000060,,,,,,,0.014717,0.027624,0.017942,0.007703,0.001699,0.000280,0.000006,2653.221154,0.194095,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,99.726750,0.000058,,,,,,,0.014151,0.025394,0.016673,0.006886,0.001620,0.000214,0.000006,2644.355769,0.191709,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,99.707970,0.000057,,,,,,,0.014426,0.025522,0.016774,0.006960,0.001569,0.000219,0.000006,2639.788462,0.194125,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,99.650691,0.000055,,,,,,,0.014741,0.026599,0.017437,0.007340,0.001536,0.000286,0.000006,2659.548077,0.194571,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,99.717360,0.000054,,,,,,,0.014463,0.024799,0.016337,0.006620,0.001546,0.000295,0.000006,2627.115385,0.192789,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,99.761493,0.000052,,,,,,,0.014502,0.024373,0.016074,0.006470,0.001543,0.000287,0.000006,2627.403846,0.192568,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,99.765249,0.000051,,,,,,,0.014334,0.023551,0.015560,0.006297,0.001445,0.000249,0.000005,2638.076923,0.191598,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,99.722055,0.000049,,,,,,,0.014577,0.025197,0.016628,0.006886,0.001461,0.000222,0.000005,2642.634615,0.192553,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,99.685434,0.000047,,,,,,,0.014562,0.024703,0.016247,0.006731,0.001432,0.000294,0.000005,2631.788462,0.192177,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,99.733323,0.000046,,,,,,,0.014825,0.023415,0.015449,0.006349,0.001401,0.000216,0.000005,2624.451923,0.192908,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,99.781212,0.000044,,,,,,,0.014946,0.022616,0.014902,0.006136,0.001375,0.000204,0.000005,2655.038462,0.194865,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,99.731445,0.000043,,,,,,,0.014849,0.021904,0.014665,0.005673,0.001398,0.000167,0.000005,2658.538462,0.193528,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,99.744591,0.000041,,,,,,,0.014754,0.023034,0.015275,0.006170,0.001357,0.000231,0.000005,2653.009615,0.193582,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,99.730506,0.000040,,,,,,,0.014776,0.022681,0.014851,0.006278,0.001372,0.000181,0.000005,2633.048077,0.194406,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,99.768066,0.000038,,,,,,,0.014688,0.022864,0.015175,0.006147,0.001308,0.000234,0.000004,2643.750000,0.193604,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,99.764310,0.000037,,,,,,,0.014744,0.021969,0.014492,0.005967,0.001331,0.000179,0.000004,2642.076923,0.193369,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,99.736140,0.000035,,,,,,,0.014389,0.021917,0.014576,0.005855,0.001277,0.000208,0.000004,2641.153846,0.192169,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,99.773700,0.000034,,,,,,,0.014635,0.021308,0.014248,0.005571,0.001280,0.000209,0.000004,2652.538462,0.193551,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,99.733323,0.000032,,,,,,,0.014516,0.020170,0.013303,0.005470,0.001247,0.000150,0.000004,2615.067308,0.192828,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,99.761493,0.000031,,,,,,,0.014708,0.021070,0.013932,0.005712,0.001224,0.000202,0.000004,2644.653846,0.194349,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,99.775578,0.000029,,,,,,,0.014511,0.020099,0.013341,0.005394,0.001209,0.000155,0.000004,2640.596154,0.193082,,,,,,,,,,,,,,,,,,,,,,,,,
