epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1191.49,0.86428,0.56212,0.94729,0.96427,0.8996,0.91001,0.67844,0.8165,0.61141,0.94658,0.00019119,0.00019119,0.00019119
83,1207.16,0.84535,0.53557,0.94392,0.9603,0.9,0.91149,0.69421,0.83083,0.57474,0.94982,0.000174115,0.000174115,0.000174115
84,1222.75,0.85947,0.54696,0.95554,0.96384,0.9,0.92236,0.70234,0.80728,0.56901,0.94368,0.000157865,0.000157865,0.000157865
85,1239.36,0.80037,0.52369,0.93857,0.96418,0.8973,0.92536,0.71674,0.80011,0.56914,0.94621,0.000142456,0.000142456,0.000142456
86,1256.18,0.85016,0.5656,0.9491,0.96413,0.89614,0.9233,0.70472,0.80318,0.57635,0.94316,0.000127904,0.000127904,0.000127904
87,1272.34,0.82417,0.54687,0.94162,0.96418,0.89722,0.89036,0.69395,0.79021,0.55556,0.93538,0.000114221,0.000114221,0.000114221
88,1288.18,0.8184,0.52707,0.93362,0.96415,0.89649,0.92536,0.70464,0.80401,0.55345,0.93807,0.000101423,0.000101423,0.000101423
89,1303.73,0.7941,0.51807,0.93353,0.96414,0.89626,0.92899,0.69588,0.80882,0.56163,0.93588,8.95213e-05,8.95213e-05,8.95213e-05
90,1318.45,0.77251,0.49034,0.92742,0.95906,0.86667,0.92647,0.68876,0.83459,0.55414,0.94234,7.8528e-05,7.8528e-05,7.8528e-05
91,1341.67,0.80057,0.51113,0.92837,0.96268,0.9,0.92756,0.68675,0.83582,0.54752,0.95139,6.8454e-05,6.8454e-05,6.8454e-05
92,1356.92,0.76793,0.46803,0.91432,0.96206,0.9,0.92537,0.6875,0.82862,0.5595,0.95106,5.93093e-05,5.93093e-05,5.93093e-05
93,1372.12,0.72849,0.46217,0.89463,0.96298,0.9,0.92687,0.67015,0.82715,0.56307,0.95358,5.11027e-05,5.11027e-05,5.11027e-05
94,1387.95,0.76877,0.46152,0.91685,0.96423,0.89867,0.92893,0.68509,0.80284,0.5438,0.95305,4.38424e-05,4.38424e-05,4.38424e-05
95,1402.91,0.74794,0.44616,0.91027,0.96512,0.9225,0.93259,0.68812,0.81293,0.55044,0.95629,3.75356e-05,3.75356e-05,3.75356e-05
96,1417.77,0.73941,0.46766,0.90713,0.96263,0.9,0.93006,0.68747,0.82888,0.53603,0.96053,3.21885e-05,3.21885e-05,3.21885e-05
97,1432.87,0.74046,0.45588,0.89732,0.96142,0.9,0.93006,0.68972,0.83087,0.53705,0.95833,2.78064e-05,2.78064e-05,2.78064e-05
98,1447.73,0.74221,0.46249,0.91701,0.96409,0.89495,0.93006,0.69225,0.81431,0.5298,0.95274,2.43937e-05,2.43937e-05,2.43937e-05
99,1462.46,0.73568,0.46011,0.91836,0.96292,0.9,0.93006,0.68695,0.82094,0.52799,0.95553,2.19535e-05,2.19535e-05,2.19535e-05
100,1477.52,0.73491,0.44984,0.89158,0.96075,0.9,0.92893,0.68637,0.82089,0.53483,0.95664,2.04885e-05,2.04885e-05,2.04885e-05
